displacement energy(eV/Ang^2) energy(J/m^2)
0.0 0.0 0.0
0.05 0.000375069556581929 0.00600927940728719
0.1 0.00148586120861691 0.0238061314397241
0.15 0.00327968677650352 0.0525463980281472
0.2 0.00568212338504962 0.0910376927378936
0.25 0.00860732475525081 0.137904605948106
0.3 0.011966324944534 0.191721745495459
0.35 0.0156728133314403 0.251106262169554
0.4 0.0196391054111859 0.314653294712824
0.45 0.0237805646655785 0.381006816017889
0.5 0.0280026484081845 0.448652084595538
0.55 0.0322074426457567 0.516020344643066
0.6 0.036314556564544 0.581823592767151
0.65 0.0402471263466316 0.644830334302189
0.7 0.0439386162030381 0.703974547920783
0.75 0.0473363414047696 0.758412130838622
0.8 0.0504007693810442 0.807509701168671
0.85 0.0531076875908378 0.850879331067626
0.9 0.0554459374918017 0.888342240899617
0.95 0.0574217341201624 0.919998006566117
1 0.0590647798191591 0.946322512276982
1.05 0.0603866332820447 0.967500948795155
1.1 0.0613936617100072 0.983635329974626
1.15 0.0620745669409156 0.994544639223024
1.2 0.0624225223422644 1.00011950178195
1.25 0.0624369230003372 1.00035022586096
1.3 0.0621177452887213 0.995236432923036
1.35 0.061465537925768 0.984786914409207
1.4 0.0604859495509674 0.969092171540836
1.45 0.0591914105374194 0.948351360937765
1.5 0.057576479652773 0.922477304408792
1.55 0.0556303899149374 0.891297495807733
1.6 0.0533241399357313 0.854347281467763
1.65 0.0506487661794521 0.811483049651889
1.7 0.0476144652700883 0.762868168358078
1.75 0.0442441442471574 0.708869648980455
1.8 0.0405761353107232 0.650101641338532
1.85 0.0366619450549819 0.587389372407976
1.9 0.032566900466415 0.521779496356565
1.95 0.0283675911147963 0.454499113908361
2 0.0241432775109913 0.386818119000091
2.05 0.0199909090155233 0.32028981230764
2.1 0.0160061506881467 0.256446917731125
2.15 0.0122738033916353 0.196648095469552
2.2 0.00888143761723175 0.142296380081379
2.25 0.00591529399543255 0.0947734993976715
2.3 0.0034642367800885 0.0555032163480999
2.35 0.00161471687010624 0.0258706276365277
2.4 0.000442494708920051 0.00708954991276655
2.45 2.76595579262243e-06 4.43155166672184e-05
2.5 0.000313148804920568 0.00501719916160326
2.55 0.00136210899403598 0.0218234015123355
2.6 0.00309967873935238 0.0496623500647336
2.65 0.00545285306816409 0.0873643756963345
2.7 0.00833642884005725 0.133564373006979
2.75 0.0116614433427058 0.186837001587627
2.8 0.0153414055425372 0.245796521705895
2.85 0.0192886098057751 0.309037733580286
2.9 0.0234184316435235 0.37520480283408
2.95 0.0276375588935941 0.442802703158564
3 0.0318472880534751 0.510250029412576
3.05 0.0359658572890701 0.576236812025634
3.1 0.0399163101934386 0.639530072891752
3.15 0.0436308930019494 0.69904427655379
3.2 0.0470557220139242 0.753916110574913
3.25 0.0501501032489807 0.803493585226762
3.3 0.0528884808821433 0.847367250875084
3.35 0.0552587242460793 0.885342752717896
3.4 0.0572645188886271 0.917479139767151
3.45 0.0589357565862578 0.944255331289004
3.5 0.0602849791547386 0.965872269412447
3.55 0.0613193163094964 0.982444184821744
3.6 0.062028906934926 0.993813084958182
3.65 0.0624056378992718 0.999848983064021
3.7 0.0624488386982337 1.00054113647137
3.75 0.0621584427863319 0.99588847900363
3.8 0.0615349409202512 0.985898873453158
3.85 0.0605829311917537 0.970645989403777
3.9 0.0593156584232387 0.950342032397366
3.95 0.05772876443754 0.924917176707368
4.0 0.0558120849660938 0.894208572727093
4.05 0.0535378365946604 0.857771080892093
4.1 0.0508940801475457 0.815413414436008
4.15 0.047890072629503 0.767283886990432
4.2 0.0445474444116148 0.713729055457244
4.25 0.040903298420118 0.655343374509379
4.3 0.0370079758782425 0.59293339981307
4.35 0.0329256025288507 0.527526539483153
4.4 0.0287323300049507 0.460342877720108
4.45 0.0245065164032385 0.392637850185419
4.5 0.0203439669840464 0.325946427041076
4.55 0.0163413665470807 0.261817670229531
4.6 0.0125838247571626 0.201615187506187
4.65 0.00915871306184844 0.146738824396685
4.7 0.00615230840500893 0.0985708905367376
4.75 0.00365327313553748 0.0585319139805617
4.8 0.00174863195934217 0.0280161848377151
4.85 0.000515398290134089 0.008257594563736
4.9 1.10593510464033e-05 0.000177190415310591
4.95 0.000256755637919198 0.00411368062423827
5.0 0.00124349955133234 0.0199230679100985
displacement energy(eV/Ang^2) energy(J/m^2)
0.0 0.0 0.0
displacement energy(eV/Ang^2) energy(J/m^2)
0.0 0.0 0.0
